Name,Hits,Years,Salary,LogSalary
Alan Ashby,81,14,475000,5.67669360962487
Alvin Davis,130,3,480000,5.68124123737559
Andre Dawson,141,11,500000,5.69897000433602
Andres Galarraga,87,2,91500,4.96142109406645
Alfredo Griffin,169,11,750000,5.8750612633917
Al Newman,37,2,70000,4.84509804001426
Argenis Salazar,73,3,100000,5
Andres Thomas,81,2,75000,4.8750612633917
Andre Thornton,92,13,1100000,6.04139268515823
Alan Trammell,159,10,517143,5.71361065048974
Alex Trevino,53,9,512500,5.70969386972779
Andy VanSlyke,113,4,550000,5.74036268949424
Alan Wiggins,60,6,700000,5.84509804001426
Bill Almon,43,13,240000,5.38021124171161
Buddy Bell,158,15,775000,5.88930170250631
Buddy Biancalana,46,5,175000,5.24303804868629
Bruce Bochy,32,8,135000,5.13033376849501
Barry Bonds,92,1,100000,5
Bobby Bonilla,109,1,115000,5.06069784035361
Bob Brenly,116,6,600000,5.77815125038364
Bill Buckner,168,18,776667,5.8902348526988
Brett Butler,163,6,765000,5.88366143515362
Bob Dernier,73,7,708333,5.85023747529275
Bo Diaz,129,10,750000,5.8750612633917
Bill Doran,152,5,625000,5.79588001734407
Brian Downing,137,14,900000,5.95424250943933
Billy Hatcher,108,3,110000,5.04139268515823
Brook Jacoby,168,5,612500,5.78710609303657
Bob Kearney,49,7,300000,5.47712125471966
Bill Madlock,106,14,850000,5.92941892571429
Bob Melvin,60,2,90000,4.95424250943933
BillyJo Robidoux,41,2,67500,4.82930377283103
Bill Schroeder,46,4,180000,5.25527250510331
Chris Bando,68,6,305000,5.48429983934679
Chris Brown,132,3,215000,5.3324384599156
Carmen Castillo,57,5,247500,5.39357520326959
Chili Davis,146,6,815000,5.91115760873998
Carlton Fisk,101,17,875000,5.94200805302231
Curt Ford,53,2,70000,4.84509804001426
Carney Lansford,168,9,1200000,6.07918124604763
Chet Lemon,101,12,675000,5.82930377283103
Candy Maldonado,102,6,415000,5.61804809671209
Carmelo Martinez,58,4,340000,5.53147891704226
Craig Reynolds,78,12,416667,5.61978910572384
Cal Ripken,177,6,1350000,6.13033376849501
Cory Snyder,113,1,90000,4.95424250943933
Chris Speier,44,16,275000,5.43933269383026
Curt Wilkerson,56,4,230000,5.36172783601759
Dave Anderson,53,4,225000,5.35218251811136
Don Baylor,139,17,950000,5.97772360528885
Daryl Boston,53,3,75000,4.8750612633917
Darnell Coles,142,4,105000,5.02118929906994
Dave Concepcion,81,17,320000,5.50514997831991
Doug DeCinces,131,14,850000,5.92941892571429
Darrell Evans,122,18,535000,5.72835378202123
Dwight Evans,137,15,933333,5.97003662151736
Damaso Garcia,119,9,850000,5.92941892571429
Dan Gladden,97,4,210000,5.32221929473392
Dave Henderson,103,6,325000,5.51188336097887
Donnie Hill,96,4,275000,5.43933269383026
Davey Lopes,70,15,450000,5.65321251377534
Don Mattingly,238,5,1975000,6.29556709996248
Dale Murphy,163,11,1900000,6.27875360095283
Dwayne Murphy,83,9,600000,5.77815125038364
Dave Parker,174,14,1041667,6.01772890593464
Dan Pasqua,82,2,110000,5.04139268515823
Darrell Porter,41,16,260000,5.41497334797082
Dick Schofield,114,4,475000,5.67669360962487
Don Slaught,83,5,431500,5.63498080005123
Darryl Strawberry,123,4,1220000,6.08635983067475
Dale Sveum,78,1,70000,4.84509804001426
Danny Tartabull,138,3,145000,5.16136800223498
Denny Walling,119,12,595000,5.77451696572855
Dave Winfield,148,14,1861460,6.26985370831379
Eric Davis,115,3,300000,5.47712125471966
Eddie Milner,110,7,490000,5.69019608002851
Eddie Murray,151,10,2460000,6.39093510710338
Ed Romero,49,8,375000,5.57403126772772
Frank White,154,14,750000,5.8750612633917
George Bell,198,5,1175000,6.07003786660776
Glenn Braggs,51,1,70000,4.84509804001426
George Brett,128,14,1500000,6.17609125905568
Greg Brock,76,5,385000,5.5854607295085
Gary Carter,125,13,1925571,6.28455953663817
Glenn Davis,152,3,215000,5.3324384599156
Gary Gaetti,171,6,900000,5.95424250943933
Greg Gagne,118,4,155000,5.19033169817029
George Hendrick,77,16,700000,5.84509804001426
Glenn Hubbard,94,9,535000,5.72835378202123
Garth Iorg,85,8,362500,5.55930801090701
Gary Matthews,96,15,733333,5.86530122869592
Graig Nettles,77,20,200000,5.30102999566398
Gary Pettis,139,5,400000,5.60205999132796
Gary Redus,84,5,400000,5.60205999132796
Garry Templeton,126,11,737500,5.8677620246502
Greg Walker,78,5,500000,5.69897000433602
Gary Ward,120,8,600000,5.77815125038364
Glenn Wilson,158,5,662500,5.82118588260885
Harold Baines,169,7,950000,5.97772360528885
Hubie Brooks,104,7,750000,5.8750612633917
Howard Johnson,54,5,297500,5.47348697006457
Hal McRae,70,18,325000,5.51188336097887
